episode,total_reward,elapsed_time
0,-142,0.0015146732330322266
1,79,0.0024771690368652344
2,-118,0.005002021789550781
3,80,0.008038043975830078
4,92,0.010066986083984375
5,39,0.012580633163452148
6,60,0.013634443283081055
7,95,0.015601396560668945
8,99,0.015601396560668945
9,47,0.018745899200439453
10,-56,0.02076888084411621
11,-88,0.022283077239990234
12,99,0.023873567581176758
13,66,0.025882482528686523
14,-172,0.027881860733032227
15,43,0.02988266944885254
16,58,0.03187918663024902
17,-70,0.03187918663024902
18,99,0.033387184143066406
19,-103,0.03439903259277344
20,79,0.043771982192993164
21,63,0.0453035831451416
22,-6,0.050537109375
23,-55,0.05215740203857422
24,93,0.05474281311035156
25,99,0.05627322196960449
26,-59,0.058284759521484375
27,85,0.05928921699523926
28,88,0.061309814453125
29,-53,0.06229996681213379
30,97,0.06429862976074219
31,-15,0.06594157218933105
32,90,0.0684976577758789
33,-103,0.07202458381652832
34,95,0.07404303550720215
35,97,0.07654833793640137
36,29,0.0826115608215332
37,99,0.08561563491821289
38,99,0.08661198616027832
39,91,0.08916354179382324
40,-76,0.09527850151062012
41,69,0.09728622436523438
42,99,0.0998380184173584
43,82,0.10184812545776367
44,36,0.10386276245117188
45,73,0.10485386848449707
46,69,0.1063687801361084
47,77,0.10992240905761719
48,93,0.11094307899475098
49,86,0.1129448413848877
50,90,0.1169888973236084
51,97,0.12006139755249023
52,87,0.12512588500976562
53,99,0.12714314460754395
54,-80,0.13169503211975098
55,97,0.13468241691589355
56,95,0.13724160194396973
57,99,0.13824796676635742
58,93,0.14024138450622559
59,86,0.14244604110717773
60,99,0.1450033187866211
61,-70,0.14753961563110352
62,93,0.15164422988891602
63,82,0.1536879539489746
64,99,0.154677152633667
65,91,0.15822219848632812
66,97,0.15923810005187988
67,99,0.16025662422180176
68,97,0.16178536415100098
69,20,0.16381406784057617
70,99,0.16481566429138184
71,91,0.16681647300720215
72,84,0.16681647300720215
73,95,0.16950702667236328
74,97,0.1715097427368164
75,-69,0.173020601272583
76,80,0.175034761428833
77,99,0.1770336627960205
78,92,0.178056001663208
79,84,0.1800980567932129
80,97,0.18110966682434082
81,76,0.1821279525756836
82,99,0.1826615333557129
83,99,0.18520259857177734
84,76,0.1862020492553711
85,99,0.18771839141845703
86,97,0.18923211097717285
87,95,0.19135832786560059
88,99,0.1922471523284912
89,99,0.1922471523284912
90,97,0.19533276557922363
91,99,0.19986796379089355
92,95,0.20189642906188965
93,63,0.20289349555969238
94,86,0.205427885055542
95,99,0.2064225673675537
96,99,0.2074265480041504
97,99,0.20793819427490234
98,99,0.2089519500732422
99,95,0.21257567405700684
100,97,0.21609902381896973
101,89,0.21811151504516602
102,99,0.22124457359313965
103,77,0.2325601577758789
104,93,0.23357629776000977
105,-68,0.23457717895507812
106,84,0.23608851432800293
107,99,0.23991990089416504
108,97,0.24350762367248535
109,95,0.2470402717590332
110,97,0.2505807876586914
111,-114,0.2561206817626953
112,93,0.25881290435791016
113,70,0.2613368034362793
114,97,0.2638587951660156
115,87,0.2704601287841797
116,97,0.28156471252441406
117,97,0.2861196994781494
118,90,0.2897031307220459
119,88,0.29071974754333496
120,85,0.29273438453674316
121,97,0.29674649238586426
122,97,0.3020186424255371
123,89,0.30502939224243164
124,-76,0.31022214889526367
125,97,0.3127613067626953
126,99,0.3172941207885742
127,93,0.3279001712799072
128,93,0.3309173583984375
129,97,0.3344414234161377
130,99,0.3389885425567627
131,97,0.3415412902832031
132,99,0.3431568145751953
133,95,0.3487117290496826
134,93,0.35272741317749023
135,97,0.3563120365142822
136,97,0.3583037853240967
137,81,0.3598182201385498
138,95,0.36184048652648926
139,99,0.36335325241088867
140,95,0.3653900623321533
141,99,0.3663809299468994
142,67,0.36789464950561523
143,83,0.3689124584197998
144,93,0.3704345226287842
145,93,0.3723602294921875
146,99,0.3723602294921875
147,90,0.373873233795166
148,99,0.3774256706237793
149,97,0.3795738220214844
150,99,0.38310694694519043
151,97,0.3856232166290283
152,99,0.38765478134155273
153,97,0.3886392116546631
154,85,0.3896610736846924
155,95,0.391660213470459
156,99,0.3947145938873291
157,89,0.39681410789489746
158,93,0.40038323402404785
159,74,0.4045076370239258
160,91,0.406508207321167
161,97,0.40761613845825195
