episode,total_reward,elapsed_time
0,-230,0.0009815692901611328
1,-103,0.002506732940673828
2,-78,0.003531217575073242
3,-63,0.004530429840087891
4,-55,0.004530429840087891
5,-56,0.005530357360839844
6,-51,0.005530357360839844
7,-51,0.005530357360839844
8,-92,0.007066011428833008
9,-100,0.008107423782348633
10,-62,0.008107423782348633
11,-90,0.009107351303100586
12,-57,0.009107351303100586
13,-56,0.010630607604980469
14,-79,0.011647224426269531
15,87,0.013167381286621094
16,-58,0.01420903205871582
17,-57,0.01420903205871582
18,-51,0.015187740325927734
19,-46,0.01619434356689453
20,-124,0.0184628963470459
21,-70,0.019479751586914062
22,-51,0.019479751586914062
23,-1,0.022005796432495117
24,-61,0.023023605346679688
25,-117,0.024023771286010742
26,-110,0.025011539459228516
27,-51,0.026005983352661133
28,-58,0.02700948715209961
29,-104,0.02700948715209961
30,-97,0.0285189151763916
31,-74,0.029543638229370117
32,-51,0.030544281005859375
33,-51,0.03155827522277832
34,-55,0.03256106376647949
35,-61,0.03256106376647949
36,-51,0.03353476524353027
37,-56,0.03353476524353027
38,-56,0.03353476524353027
39,-56,0.03504467010498047
40,84,0.03504467010498047
41,-61,0.03606820106506348
42,40,0.03705739974975586
43,-61,0.038063764572143555
44,-81,0.039057016372680664
45,-92,0.0401463508605957
46,-75,0.04117250442504883
47,-73,0.042173147201538086
48,-62,0.04315972328186035
49,-61,0.04315972328186035
50,-62,0.044179439544677734
51,-157,0.0461573600769043
52,-51,0.04716610908508301
53,-115,0.04815936088562012
54,-110,0.04974007606506348
55,-51,0.050750732421875
56,-51,0.05175447463989258
57,-111,0.05275082588195801
58,-138,0.05475211143493652
59,-188,0.05675315856933594
60,-60,0.05675315856933594
61,48,0.05826449394226074
62,-89,0.059281349182128906
63,-65,0.060276031494140625
64,-51,0.06078648567199707
65,-87,0.06180167198181152
66,-93,0.06281876564025879
67,-70,0.06381368637084961
68,-104,0.06581234931945801
69,-51,0.06732869148254395
70,-66,0.06832695007324219
71,-70,0.06935739517211914
72,-75,0.06935739517211914
73,-51,0.07088279724121094
74,-85,0.07088279724121094
75,-119,0.07190752029418945
76,-51,0.0729072093963623
77,-66,0.07389712333679199
78,92,0.07489275932312012
79,-79,0.07593655586242676
80,-51,0.07593655586242676
81,-67,0.07846188545227051
82,83,0.07846188545227051
83,-51,0.08153629302978516
84,-56,0.08254861831665039
85,-127,0.08356237411499023
86,-64,0.08456063270568848
87,-56,0.08613967895507812
88,-70,0.08613967895507812
89,-57,0.08819317817687988
90,-63,0.08923149108886719
91,78,0.09021854400634766
92,-55,0.09220528602600098
93,-58,0.09340023994445801
94,-123,0.09491539001464844
95,-60,0.09491539001464844
96,-53,0.09593987464904785
97,-95,0.0969383716583252
98,-66,0.0969383716583252
99,-51,0.0969383716583252
